Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0477348,8,2025-01-31,"No Country for Old Men","No Country for Old Men",https://www.imdb.com/title/tt0477348,Movie,8.2,122,2007,"Thriller, Crime, Drama",1104888,"2007-11-21","Ethan Coen,Joel Coen"
tt1931533,9,2025-01-29,"Seven Psychopaths","Seven Psychopaths",https://www.imdb.com/title/tt1931533,Movie,7.1,110,2012,"Comedy, Crime",279254,"2012-10-12","Martin McDonagh"
tt0073486,10,2023-02-04,"Палёт над гняздом зязюлі","One Flew Over the Cuckoo's Nest",https://www.imdb.com/title/tt0073486,Movie,8.7,133,1975,"Drama",1105038,"1975-11-19","Milos Forman"
tt0120586,10,2022-07-20,"Американская история Икс","American History X",https://www.imdb.com/title/tt0120586,Movie,8.5,119,1998,"Drama, Crime",1219180,"1998-11-20","Tony Kaye"
tt0118715,10,2022-06-27,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715,Movie,8.1,117,1998,"Crime, Comedy",881933,"1998-03-06","Joel Coen,Ethan Coen"
tt0208092,6,2022-04-29,"Snatch","Snatch",https://www.imdb.com/title/tt0208092,Movie,8.2,104,2000,"Comedy, Crime",935843,"2000-09-01","Guy Ritchie"
tt0120689,10,2022-04-27,"The Green Mile","The Green Mile",https://www.imdb.com/title/tt0120689,Movie,8.6,189,1999,"Crime, Fantasy, Mystery, Drama",1464170,"1999-12-10","Frank Darabont"
tt0105236,2,2022-03-20,"Reservoir Dogs","Reservoir Dogs",https://www.imdb.com/title/tt0105236,Movie,8.3,99,1992,"Crime, Thriller",1120773,"1992-09-02","Quentin Tarantino"
tt0361748,10,2022-01-18,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748,Movie,8.4,153,2009,"War, Adventure, Drama",1652690,"2009-08-20","Quentin Tarantino"
